"","nazwa","wyswietlacz","pamiec_RAM","pamiec_Wbudowana","aparat_Foto","cena","liczba_Opini","ocena_klienta","status_opinii"
"1","Xiaomi 11T","2400 × 1080",8,128,108,2499,1,"5","mniej 50 opinii"
"2","Mi 11i","2400 × 1080",8,256,108,2999,3,"5","mniej 50 opinii"
"3","Mi 10 Pro","2340 × 1080",8,256,108,4399,0,"0","nie ma"
"4","Mi Note 10","2340 × 1080",6,128,108,2499,1,"5","mniej 50 opinii"
"5","Mi 9","2340 × 1080",6,64,48,1849,11,"4","mniej 50 opinii"
"6","Redmi Note 10","2400 × 1080",4,128,48,999,4,"3","mniej 50 opinii"
"7","Redmi Note 9","2340 × 1080",4,64,48,899,17,"4","mniej 50 opinii"
"8","Redmi Note 8","2340 × 1080",4,64,48,889,6,"4","mniej 50 opinii"
"9","Redmi 10","2400 × 1080",4,128,50,899,0,"0","nie ma"
"10","Redmi 9","2340 × 1080",4,64,13,749,9,"3,5","mniej 50 opinii"
"11","Redmi 8","1520 × 720",4,64,12,699,2,"2","mniej 50 opinii"
"12","POCO M4 Pro","2400 × 1080",6,128,50,1199,1,"4,5","mniej 50 opinii"
"13","POCO M3","2340 × 1080",4,128,48,799,5,"4","mniej 50 opinii"
"14","POCO F2 Pro","2400 × 1080",6,128,64,2499,2,"4,5","mniej 50 opinii"
"15","Pocophone F1","2246 × 1080",6,64,12,1499,1,"3","mniej 50 opinii"
